Label,EMPLOYMENT STATUS_Population 16 years and over,EMPLOYMENT STATUS_In labor force,EMPLOYMENT STATUS_Civilian labor force,EMPLOYMENT STATUS_Employed,EMPLOYMENT STATUS_Unemployed,EMPLOYMENT STATUS_Armed Forces,EMPLOYMENT STATUS_Not in labor force,EMPLOYMENT STATUS_Civilian labor force,EMPLOYMENT STATUS_Unemployment Rate,EMPLOYMENT STATUS_Females 16 years and over,EMPLOYMENT STATUS_In labor force,EMPLOYMENT STATUS_Civilian labor force,EMPLOYMENT STATUS_Employed,EMPLOYMENT STATUS_Own children of the householder under 6 years,EMPLOYMENT STATUS_All parents in family in labor force,EMPLOYMENT STATUS_Own children of the householder 6 to 17 years,EMPLOYMENT STATUS_All parents in family in labor force,COMMUTING TO WORK_Workers 16 years and over,"COMMUTING TO WORK_Car, truck, or van -- drove alone","COMMUTING TO WORK_Car, truck, or van -- carpooled",COMMUTING TO WORK_Public transportation (excluding taxicab),COMMUTING TO WORK_Walked,COMMUTING TO WORK_Other means,COMMUTING TO WORK_Worked from home,COMMUTING TO WORK_Mean travel time to work (minutes),OCCUPATION_Civilian employed population 16 years and over,"OCCUPATION_Management, business, science, and arts occupations",OCCUPATION_Service occupations,OCCUPATION_Sales and office occupations,"OCCUPATION_Natural resources, construction, and maintenance occupations","OCCUPATION_Production, transportation, and material moving occupations",INDUSTRY_Civilian employed population 16 years and over,"INDUSTRY_Agriculture, forestry, fishing and hunting, and mining",INDUSTRY_Construction,INDUSTRY_Manufacturing,INDUSTRY_Wholesale trade,INDUSTRY_Retail trade,"INDUSTRY_Transportation and warehousing, and utilities",INDUSTRY_Information,"INDUSTRY_Finance and insurance, and real estate and rental and leasing","INDUSTRY_Professional, scientific, and management, and administrative and waste management services","INDUSTRY_Educational services, and health care and social assistance","INDUSTRY_Arts, entertainment, and recreation, and accommodation and food services","INDUSTRY_Other services, except public administration",INDUSTRY_Public administration,CLASS OF WORKER_Civilian employed population 16 years and over,CLASS OF WORKER_Private wage and salary workers,CLASS OF WORKER_Government workers,CLASS OF WORKER_Self-employed in own not incorporated business workers,CLASS OF WORKER_Unpaid family workers,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Total households,"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Less than $10,000","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$10,000 to $14,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$15,000 to $24,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$25,000 to $34,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$35,000 to $49,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$50,000 to $74,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$75,000 to $99,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$100,000 to $149,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$150,000 to $199,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Families,"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Less than $10,000","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$10,000 to $14,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$15,000 to $24,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$25,000 to $34,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$35,000 to $49,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$50,000 to $74,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$75,000 to $99,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$100,000 to $149,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$150,000 to $199,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median earnings for workers (dollars),"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median earnings for male full-time, year-round workers (dollars)","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median earnings for female full-time, year-round workers (dollars)",HEALTH INSURANCE COVERAGE_Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_With private health insurance,HEALTH INSURANCE COVERAGE_With public coverage,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE_In labor force:,HEALTH INSURANCE COVERAGE_Employed:,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Unemployed:,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Not in labor force:,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_With private health insurance,HEALTH INSURANCE COVERAGE_With public coverage,HEALTH INSURANCE COVERAGE_No health insurance coverage,BELOW POVERTY LEVEL_All families,BELOW POVERTY LEVEL_With related children of the householder under 18 years,BELOW POVERTY LEVEL_With related children of the householder under 5 years only,BELOW POVERTY LEVEL_Married couple families,BELOW POVERTY LEVEL_With related children of the householder under 18 years,BELOW POVERTY LEVEL_With related children of the householder under 5 years only,"BELOW POVERTY LEVEL_Families with female householder, no spouse present",BELOW POVERTY LEVEL_With related children of the householder under 18 years,BELOW POVERTY LEVEL_With related children of the householder under 5 years only,BELOW POVERTY LEVEL_All people,BELOW POVERTY LEVEL_Under 18 years,BELOW POVERTY LEVEL_Related children of the householder under 18 years,BELOW POVERTY LEVEL_Related children of the householder under 5 years,BELOW POVERTY LEVEL_Related children of the householder 5 to 17 years,BELOW POVERTY LEVEL_18 years and over,BELOW POVERTY LEVEL_18 to 64 years,BELOW POVERTY LEVEL_65 years and over,BELOW POVERTY LEVEL_People in families,BELOW POVERTY LEVEL_Unrelated individuals 15 years and over
"Baldwin County, Alabama","194,430",58.90%,58.40%,56.80%,1.70%,0.50%,41.10%,"113,557",2.80%,"100,257",55.10%,55.10%,53.30%,"15,117",47.70%,"31,839",66.80%,"108,105",77.50%,7.40%,0.50%,0.20%,1.30%,13.20%,(X),"110,347",36.90%,16.40%,24.00%,9.00%,13.70%,"110,347",0.80%,9.20%,8.10%,2.40%,15.60%,3.10%,1.00%,7.10%,12.90%,19.60%,10.20%,5.00%,5.00%,"110,347",79.40%,15.20%,5.40%,0.00%,"94,105",5.10%,2.80%,7.70%,9.10%,13.30%,17.50%,16.20%,14.50%,8.20%,5.60%,(X),(X),69.30%,(X),39.70%,(X),30.60%,(X),5.10%,(X),1.80%,(X),7.40%,"61,777",3.90%,1.10%,4.70%,5.90%,10.60%,17.80%,19.00%,17.50%,11.50%,7.90%,(X),(X),(X),"32,328",(X),(X),(X),(X),(X),"235,756",91.20%,71.20%,34.80%,8.80%,"52,496",5.70%,"132,966","102,060","99,153",87.90%,83.80%,6.30%,12.10%,"2,907",59.80%,51.80%,8.00%,40.20%,"30,906",87.50%,58.00%,37.60%,12.50%,7.10%,14.40%,8.00%,3.50%,6.50%,0.00%,31.20%,42.50%,28.10%,10.80%,17.40%,17.00%,21.10%,15.70%,9.00%,10.40%,5.20%,8.20%,22.90%
"Calhoun County, Alabama","93,742",54.80%,54.80%,51.60%,3.20%,0.00%,45.20%,"51,356",5.80%,"49,023",51.10%,51.10%,48.30%,"7,288",69.70%,"15,533",68.50%,"47,791",87.00%,6.40%,0.20%,0.80%,0.70%,5.00%,(X),"48,361",30.50%,21.80%,20.80%,8.70%,18.20%,"48,361",0.30%,5.40%,17.20%,2.50%,9.10%,5.50%,0.90%,4.00%,9.30%,21.00%,13.40%,4.20%,7.30%,"48,361",76.90%,17.60%,5.20%,0.30%,"44,631",9.80%,7.30%,14.80%,9.20%,10.90%,17.60%,15.70%,9.40%,2.90%,2.40%,(X),(X),65.90%,(X),37.70%,(X),28.50%,(X),5.00%,(X),3.10%,(X),17.30%,"27,880",7.40%,3.80%,8.70%,8.50%,9.60%,20.50%,20.70%,13.90%,4.60%,2.20%,(X),(X),(X),"16,751",(X),(X),(X),(X),(X),"114,601",87.00%,60.60%,43.50%,13.00%,"26,964",5.60%,"66,964","46,517","43,749",81.90%,75.70%,10.60%,18.10%,"2,768",52.20%,32.10%,33.00%,47.80%,"20,447",80.80%,41.40%,49.10%,19.20%,16.60%,23.30%,11.20%,11.30%,14.50%,0.00%,29.80%,41.60%,22.50%,19.80%,24.90%,24.10%,21.70%,24.90%,18.40%,20.30%,12.30%,16.10%,34.20%
"Cullman County, Alabama","72,182",60.40%,60.40%,58.90%,1.50%,0.00%,39.60%,"43,615",2.50%,"36,483",54.80%,54.80%,52.90%,"5,649",68.10%,"13,275",78.60%,"41,604",81.30%,13.50%,0.00%,1.00%,0.00%,4.20%,(X),"42,514",29.00%,15.60%,22.00%,13.50%,19.80%,"42,514",2.60%,9.60%,14.40%,2.70%,14.10%,5.60%,0.60%,6.40%,6.80%,18.90%,9.90%,4.60%,3.70%,"42,514",83.10%,10.50%,6.50%,0.00%,"35,131",5.10%,4.40%,10.50%,11.10%,15.80%,16.70%,12.90%,14.20%,4.90%,4.40%,(X),(X),75.50%,(X),34.20%,(X),21.20%,(X),8.80%,(X),0.80%,(X),10.00%,"25,250",0.50%,4.50%,5.20%,11.70%,13.60%,18.00%,15.80%,19.40%,5.80%,5.40%,(X),(X),(X),"9,881",(X),(X),(X),(X),(X),"89,194",91.70%,67.40%,36.90%,8.30%,"20,531",3.60%,"52,063","40,236","39,267",88.50%,85.40%,5.80%,11.50%,969,22.00%,6.90%,19.50%,78.00%,"11,827",89.20%,53.00%,44.20%,10.80%,8.20%,12.50%,26.40%,3.60%,3.60%,0.00%,31.50%,42.10%,100.00%,13.00%,16.00%,16.00%,22.90%,13.60%,12.10%,10.80%,16.40%,9.00%,31.40%
"DeKalb County, Alabama","55,909",55.30%,55.30%,54.00%,1.30%,0.00%,44.70%,"30,926",2.30%,"27,977",47.80%,47.80%,46.30%,"6,366",65.90%,"10,405",50.00%,"29,624",79.10%,13.00%,0.00%,0.90%,0.80%,6.30%,(X),"30,202",27.40%,18.90%,13.70%,15.30%,24.70%,"30,202",2.80%,11.90%,22.00%,1.00%,9.30%,9.40%,1.50%,3.00%,5.40%,15.90%,6.90%,8.70%,2.30%,"30,202",85.10%,8.90%,6.00%,0.00%,"24,979",5.60%,10.10%,16.00%,10.10%,14.10%,14.80%,9.80%,11.60%,5.30%,2.70%,(X),(X),69.90%,(X),42.80%,(X),23.00%,(X),5.90%,(X),1.90%,(X),15.70%,"16,919",2.70%,5.00%,12.60%,10.90%,15.60%,15.70%,13.00%,15.20%,5.80%,3.50%,(X),(X),(X),"8,060",(X),(X),(X),(X),(X),"71,080",81.20%,52.00%,43.20%,18.80%,"18,099",7.00%,"40,881","28,405","27,737",71.80%,68.80%,5.00%,28.20%,668,51.20%,43.70%,7.50%,48.80%,"12,476",69.40%,41.20%,38.00%,30.60%,15.20%,23.30%,28.20%,11.40%,14.60%,27.00%,32.60%,50.00%,80.10%,21.30%,36.40%,36.40%,49.20%,29.80%,16.50%,17.80%,12.00%,18.70%,33.70%
"Elmore County, Alabama","71,833",57.70%,57.10%,52.40%,4.70%,0.60%,42.30%,"41,022",8.30%,"37,264",52.60%,52.60%,48.50%,"5,610",59.90%,"11,988",76.20%,N,N,N,N,N,N,N,(X),"37,618",34.60%,14.80%,22.40%,9.40%,18.90%,"37,618",0.70%,8.90%,15.80%,1.20%,8.90%,3.10%,0.60%,7.70%,7.20%,22.20%,10.80%,3.40%,9.50%,"37,618",76.00%,17.40%,6.60%,0.00%,"32,108",4.80%,5.00%,8.50%,9.00%,18.50%,14.30%,13.20%,18.60%,4.90%,3.10%,(X),(X),71.20%,(X),37.60%,(X),25.70%,(X),3.10%,(X),0.60%,(X),11.80%,"22,219",3.70%,4.20%,2.40%,11.80%,13.20%,17.80%,12.70%,24.20%,6.50%,3.60%,(X),(X),(X),"9,889",(X),(X),(X),(X),(X),"84,444",85.10%,65.50%,34.70%,14.90%,"20,260",4.80%,"49,719","37,746","34,770",81.90%,80.30%,4.00%,18.10%,"2,976",32.20%,25.50%,6.70%,67.80%,"11,973",72.40%,49.40%,34.50%,27.60%,9.60%,13.70%,15.50%,5.30%,5.50%,25.40%,21.80%,27.70%,10.80%,11.50%,14.50%,14.10%,14.50%,14.00%,10.60%,11.10%,9.10%,9.30%,22.70%
"Etowah County, Alabama","83,219",53.90%,53.90%,49.90%,4.00%,0.00%,46.10%,"44,893",7.50%,"43,838",47.40%,47.40%,44.30%,"7,263",74.80%,"12,426",75.40%,"40,653",85.60%,6.50%,0.70%,1.70%,0.00%,5.40%,(X),"41,548",28.80%,11.90%,23.80%,9.40%,26.10%,"41,548",0.60%,5.00%,19.10%,2.20%,16.80%,5.40%,1.40%,4.00%,6.40%,23.30%,8.70%,4.30%,2.90%,"41,548",80.50%,12.60%,6.90%,0.00%,"38,006",8.10%,7.80%,12.20%,10.10%,16.90%,19.90%,8.00%,12.70%,2.80%,1.70%,(X),(X),66.30%,(X),40.60%,(X),29.80%,(X),6.30%,(X),1.40%,(X),12.20%,"24,392",4.00%,2.50%,9.90%,9.50%,18.10%,19.80%,11.80%,17.90%,3.90%,2.50%,(X),(X),(X),"13,614",(X),(X),(X),(X),(X),"102,521",87.10%,62.80%,42.10%,12.90%,"23,528",5.80%,"59,747","41,769","38,699",84.40%,78.50%,7.90%,15.60%,"3,070",54.90%,44.50%,26.90%,45.10%,"17,978",77.30%,41.10%,49.00%,22.70%,11.50%,17.10%,4.70%,8.50%,12.60%,0.00%,24.10%,26.60%,11.50%,16.80%,22.90%,22.10%,21.90%,22.20%,15.20%,16.00%,12.70%,12.90%,33.20%
"Houston County, Alabama","86,003",56.50%,56.20%,53.40%,2.80%,0.30%,43.50%,"48,329",5.00%,"45,362",52.30%,52.10%,49.10%,"7,192",61.10%,"15,110",67.20%,"45,396",84.20%,7.80%,0.00%,0.80%,1.30%,5.90%,(X),"45,913",34.20%,18.40%,21.20%,11.00%,15.10%,"45,913",1.30%,7.70%,9.80%,2.20%,13.70%,7.00%,0.50%,3.40%,9.80%,24.60%,9.60%,5.60%,4.70%,"45,913",79.40%,13.00%,7.20%,0.40%,"44,058",8.50%,6.50%,10.60%,12.40%,14.30%,17.60%,10.20%,11.40%,4.60%,3.90%,(X),(X),71.30%,(X),34.40%,(X),26.40%,(X),5.80%,(X),1.30%,(X),16.10%,"29,030",6.30%,4.70%,8.20%,9.10%,12.90%,19.90%,11.80%,15.50%,6.30%,5.20%,(X),(X),(X),"15,028",(X),(X),(X),(X),(X),"106,536",88.90%,57.70%,44.30%,11.10%,"25,531",2.90%,"61,472","43,528","41,495",84.00%,79.00%,8.10%,16.00%,"2,033",47.20%,24.40%,26.40%,52.80%,"17,944",81.40%,38.70%,50.50%,18.60%,15.60%,25.80%,16.40%,6.20%,8.60%,3.70%,39.10%,50.20%,41.20%,19.60%,27.80%,27.80%,28.00%,27.70%,17.10%,18.50%,13.00%,17.40%,29.20%
"Jefferson County, Alabama","532,974",61.00%,60.90%,57.50%,3.40%,0.20%,39.00%,"324,496",5.60%,"284,583",56.90%,56.90%,54.30%,"45,826",70.20%,"94,536",70.20%,"300,339",76.40%,7.50%,0.40%,1.20%,1.10%,13.30%,(X),"306,330",42.90%,17.10%,19.50%,6.10%,14.40%,"306,330",0.40%,4.50%,9.50%,3.10%,12.00%,5.90%,1.60%,8.80%,11.80%,26.50%,7.50%,4.00%,4.40%,"306,330",78.90%,16.30%,4.70%,0.10%,"270,147",8.10%,5.00%,10.00%,8.50%,13.30%,17.90%,11.30%,12.80%,5.70%,7.30%,(X),(X),75.90%,(X),32.40%,(X),22.80%,(X),7.10%,(X),2.50%,(X),14.80%,"161,313",5.30%,3.40%,5.80%,7.30%,10.80%,17.70%,13.80%,16.60%,8.70%,10.60%,(X),(X),(X),"108,834",(X),(X),(X),(X),(X),"661,543",91.10%,67.10%,36.30%,8.90%,"160,668",3.80%,"392,948","296,467","279,568",89.70%,85.60%,6.70%,10.30%,"16,899",60.20%,37.70%,24.10%,39.80%,"96,481",82.70%,47.50%,43.90%,17.30%,12.70%,19.50%,7.30%,5.20%,5.90%,2.20%,30.20%,42.90%,25.60%,16.60%,23.60%,23.30%,21.30%,24.10%,14.50%,15.30%,11.60%,14.20%,25.70%
"Lauderdale County, Alabama","76,414",58.20%,58.20%,56.20%,2.00%,0.10%,41.80%,"44,461",3.50%,"40,253",53.20%,53.20%,50.90%,"4,218",68.40%,"11,774",64.80%,"42,216",80.90%,12.60%,0.10%,0.70%,1.50%,4.10%,(X),"42,921",31.90%,20.60%,19.60%,10.10%,17.90%,"42,921",0.40%,6.90%,15.70%,3.70%,12.80%,4.60%,0.30%,5.40%,4.80%,19.20%,14.60%,6.10%,5.50%,"42,921",77.00%,17.80%,4.90%,0.30%,"38,250",7.00%,5.20%,11.50%,9.80%,16.30%,15.30%,13.50%,12.20%,5.70%,3.40%,(X),(X),69.70%,(X),37.20%,(X),30.60%,(X),3.00%,(X),0.40%,(X),9.80%,"25,551",4.00%,3.50%,8.00%,7.50%,16.30%,16.20%,16.00%,15.30%,8.50%,4.90%,(X),(X),(X),"12,699",(X),(X),(X),(X),(X),"93,063",87.90%,67.70%,36.40%,12.10%,"19,702",3.50%,"54,837","41,302","39,951",80.00%,78.10%,3.90%,20.00%,"1,351",87.60%,70.20%,28.40%,12.40%,"13,535",81.80%,56.60%,33.20%,18.20%,12.80%,25.80%,23.80%,6.20%,14.60%,11.20%,43.30%,59.90%,80.50%,17.00%,25.90%,25.70%,33.30%,23.10%,14.70%,17.20%,7.60%,14.90%,25.90%
"Lee County, Alabama","143,890",60.50%,60.00%,58.20%,1.80%,0.50%,39.50%,"86,324",3.00%,"74,737",56.90%,56.90%,53.90%,"10,413",60.40%,"25,331",75.70%,"82,813",78.70%,7.50%,0.50%,2.20%,0.30%,10.80%,(X),"83,740",43.80%,16.50%,23.60%,6.70%,9.40%,"83,740",0.50%,5.40%,9.00%,1.60%,16.80%,5.00%,1.60%,7.00%,7.70%,31.30%,9.00%,2.40%,2.70%,"83,740",76.30%,18.80%,5.00%,0.00%,"67,358",11.10%,6.00%,7.70%,7.50%,14.80%,17.70%,12.10%,12.10%,6.00%,4.80%,(X),(X),80.20%,(X),27.60%,(X),21.80%,(X),4.70%,(X),1.70%,(X),10.40%,"43,010",5.20%,2.40%,4.70%,6.70%,12.20%,18.90%,16.80%,16.50%,9.30%,7.20%,(X),(X),(X),"24,348",(X),(X),(X),(X),(X),"176,109",88.30%,72.60%,26.70%,11.70%,"40,802",3.60%,"112,613","80,732","78,529",85.10%,82.80%,5.20%,14.90%,"2,203",55.00%,44.90%,10.10%,45.00%,"31,881",80.90%,63.90%,23.30%,19.10%,10.90%,13.60%,13.60%,3.30%,3.40%,3.00%,38.60%,44.30%,43.20%,19.40%,20.50%,20.20%,24.60%,18.70%,19.10%,21.30%,8.40%,12.00%,46.10%
