Label,EMPLOYMENT STATUS_Population 16 years and over,EMPLOYMENT STATUS_In labor force,EMPLOYMENT STATUS_Civilian labor force,EMPLOYMENT STATUS_Employed,EMPLOYMENT STATUS_Unemployed,EMPLOYMENT STATUS_Armed Forces,EMPLOYMENT STATUS_Not in labor force,EMPLOYMENT STATUS_Civilian labor force,EMPLOYMENT STATUS_Unemployment Rate,EMPLOYMENT STATUS_Females 16 years and over,EMPLOYMENT STATUS_In labor force,EMPLOYMENT STATUS_Civilian labor force,EMPLOYMENT STATUS_Employed,EMPLOYMENT STATUS_Own children of the householder under 6 years,EMPLOYMENT STATUS_All parents in family in labor force,EMPLOYMENT STATUS_Own children of the householder 6 to 17 years,EMPLOYMENT STATUS_All parents in family in labor force,COMMUTING TO WORK_Workers 16 years and over,"COMMUTING TO WORK_Car, truck, or van -- drove alone","COMMUTING TO WORK_Car, truck, or van -- carpooled",COMMUTING TO WORK_Public transportation (excluding taxicab),COMMUTING TO WORK_Walked,COMMUTING TO WORK_Other means,COMMUTING TO WORK_Worked from home,COMMUTING TO WORK_Mean travel time to work (minutes),OCCUPATION_Civilian employed population 16 years and over,"OCCUPATION_Management, business, science, and arts occupations",OCCUPATION_Service occupations,OCCUPATION_Sales and office occupations,"OCCUPATION_Natural resources, construction, and maintenance occupations","OCCUPATION_Production, transportation, and material moving occupations",INDUSTRY_Civilian employed population 16 years and over,"INDUSTRY_Agriculture, forestry, fishing and hunting, and mining",INDUSTRY_Construction,INDUSTRY_Manufacturing,INDUSTRY_Wholesale trade,INDUSTRY_Retail trade,"INDUSTRY_Transportation and warehousing, and utilities",INDUSTRY_Information,"INDUSTRY_Finance and insurance, and real estate and rental and leasing","INDUSTRY_Professional, scientific, and management, and administrative and waste management services","INDUSTRY_Educational services, and health care and social assistance","INDUSTRY_Arts, entertainment, and recreation, and accommodation and food services","INDUSTRY_Other services, except public administration",INDUSTRY_Public administration,CLASS OF WORKER_Civilian employed population 16 years and over,CLASS OF WORKER_Private wage and salary workers,CLASS OF WORKER_Government workers,CLASS OF WORKER_Self-employed in own not incorporated business workers,CLASS OF WORKER_Unpaid family workers,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Total households,"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Less than $10,000","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$10,000 to $14,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$15,000 to $24,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$25,000 to $34,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$35,000 to $49,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$50,000 to $74,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$75,000 to $99,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$100,000 to $149,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$150,000 to $199,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Families,"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Less than $10,000","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$10,000 to $14,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$15,000 to $24,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$25,000 to $34,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$35,000 to $49,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$50,000 to $74,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$75,000 to $99,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$100,000 to $149,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$150,000 to $199,999","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median earnings for workers (dollars),"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median earnings for male full-time, year-round workers (dollars)","INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)_Median earnings for female full-time, year-round workers (dollars)",HEALTH INSURANCE COVERAGE_Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_With private health insurance,HEALTH INSURANCE COVERAGE_With public coverage,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE_In labor force:,HEALTH INSURANCE COVERAGE_Employed:,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Unemployed:,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_,HEALTH INSURANCE COVERAGE_No health insurance coverage,HEALTH INSURANCE COVERAGE_Not in labor force:,HEALTH INSURANCE COVERAGE_With health insurance coverage,HEALTH INSURANCE COVERAGE_With private health insurance,HEALTH INSURANCE COVERAGE_With public coverage,HEALTH INSURANCE COVERAGE_No health insurance coverage,BELOW POVERTY LEVEL_All families,BELOW POVERTY LEVEL_With related children of the householder under 18 years,BELOW POVERTY LEVEL_With related children of the householder under 5 years only,BELOW POVERTY LEVEL_Married couple families,BELOW POVERTY LEVEL_With related children of the householder under 18 years,BELOW POVERTY LEVEL_With related children of the householder under 5 years only,"BELOW POVERTY LEVEL_Families with female householder, no spouse present",BELOW POVERTY LEVEL_With related children of the householder under 18 years,BELOW POVERTY LEVEL_With related children of the householder under 5 years only,BELOW POVERTY LEVEL_All people,BELOW POVERTY LEVEL_Under 18 years,BELOW POVERTY LEVEL_Related children of the householder under 18 years,BELOW POVERTY LEVEL_Related children of the householder under 5 years,BELOW POVERTY LEVEL_Related children of the householder 5 to 17 years,BELOW POVERTY LEVEL_18 years and over,BELOW POVERTY LEVEL_18 to 64 years,BELOW POVERTY LEVEL_65 years and over,BELOW POVERTY LEVEL_People in families,BELOW POVERTY LEVEL_Unrelated individuals 15 years and over
"Baldwin County, Alabama",194430,0.589,0.584,0.568,0.017,0.005,0.411,113557,0.028,100257,0.551,0.551,0.533,15117,0.477,31839,0.668,108105,0.775,0.074,0.005,0.002,0.013,0.132,(X),110347,0.369,0.164,0.24,0.09,0.137,110347,0.008,0.092,0.081,0.024,0.156,0.031,0.01,0.071,0.129,0.196,0.102,0.05,0.05,110347,0.794,0.152,0.054,0,94105,0.051,0.028,0.077,0.091,0.133,0.175,0.162,0.145,0.082,0.056,(X),(X),0.693,(X),0.397,(X),0.306,(X),0.051,(X),0.018,(X),0.074,61777,0.039,0.011,0.047,0.059,0.106,0.178,0.19,0.175,0.115,0.079,(X),(X),(X),32328,(X),(X),(X),(X),(X),235756,0.912,0.712,0.348,0.088,52496,0.057,132966,102060,99153,0.879,0.838,0.063,0.121,2907,0.598,0.518,0.08,0.402,30906,0.875,0.58,0.376,0.125,0.071,0.144,0.08,0.035,0.065,0,0.312,0.425,0.281,0.108,0.174,0.17,0.211,0.157,0.09,0.104,0.052,0.082,0.229
"Calhoun County, Alabama",93742,0.548,0.548,0.516,0.032,0,0.452,51356,0.058,49023,0.511,0.511,0.483,7288,0.697,15533,0.685,47791,0.87,0.064,0.002,0.008,0.007,0.05,(X),48361,0.305,0.218,0.208,0.087,0.182,48361,0.003,0.054,0.172,0.025,0.091,0.055,0.009,0.04,0.093,0.21,0.134,0.042,0.073,48361,0.769,0.176,0.052,0.003,44631,0.098,0.073,0.148,0.092,0.109,0.176,0.157,0.094,0.029,0.024,(X),(X),0.659,(X),0.377,(X),0.285,(X),0.05,(X),0.031,(X),0.173,27880,0.074,0.038,0.087,0.085,0.096,0.205,0.207,0.139,0.046,0.022,(X),(X),(X),16751,(X),(X),(X),(X),(X),114601,0.87,0.606,0.435,0.13,26964,0.056,66964,46517,43749,0.819,0.757,0.106,0.181,2768,0.522,0.321,0.33,0.478,20447,0.808,0.414,0.491,0.192,0.166,0.233,0.112,0.113,0.145,0,0.298,0.416,0.225,0.198,0.249,0.241,0.217,0.249,0.184,0.203,0.123,0.161,0.342
"Cullman County, Alabama",72182,0.604,0.604,0.589,0.015,0,0.396,43615,0.025,36483,0.548,0.548,0.529,5649,0.681,13275,0.786,41604,0.813,0.135,0,0.01,0,0.042,(X),42514,0.29,0.156,0.22,0.135,0.198,42514,0.026,0.096,0.144,0.027,0.141,0.056,0.006,0.064,0.068,0.189,0.099,0.046,0.037,42514,0.831,0.105,0.065,0,35131,0.051,0.044,0.105,0.111,0.158,0.167,0.129,0.142,0.049,0.044,(X),(X),0.755,(X),0.342,(X),0.212,(X),0.088,(X),0.008,(X),0.1,25250,0.005,0.045,0.052,0.117,0.136,0.18,0.158,0.194,0.058,0.054,(X),(X),(X),9881,(X),(X),(X),(X),(X),89194,0.917,0.674,0.369,0.083,20531,0.036,52063,40236,39267,0.885,0.854,0.058,0.115,969,0.22,0.069,0.195,0.78,11827,0.892,0.53,0.442,0.108,0.082,0.125,0.264,0.036,0.036,0,0.315,0.421,1,0.13,0.16,0.16,0.229,0.136,0.121,0.108,0.164,0.09,0.314
"DeKalb County, Alabama",55909,0.553,0.553,0.54,0.013,0,0.447,30926,0.023,27977,0.478,0.478,0.463,6366,0.659,10405,0.5,29624,0.791,0.13,0,0.009,0.008,0.063,(X),30202,0.274,0.189,0.137,0.153,0.247,30202,0.028,0.119,0.22,0.01,0.093,0.094,0.015,0.03,0.054,0.159,0.069,0.087,0.023,30202,0.851,0.089,0.06,0,24979,0.056,0.101,0.16,0.101,0.141,0.148,0.098,0.116,0.053,0.027,(X),(X),0.699,(X),0.428,(X),0.23,(X),0.059,(X),0.019,(X),0.157,16919,0.027,0.05,0.126,0.109,0.156,0.157,0.13,0.152,0.058,0.035,(X),(X),(X),8060,(X),(X),(X),(X),(X),71080,0.812,0.52,0.432,0.188,18099,0.07,40881,28405,27737,0.718,0.688,0.05,0.282,668,0.512,0.437,0.075,0.488,12476,0.694,0.412,0.38,0.306,0.152,0.233,0.282,0.114,0.146,0.27,0.326,0.5,0.801,0.213,0.364,0.364,0.492,0.298,0.165,0.178,0.12,0.187,0.337
"Elmore County, Alabama",71833,0.577,0.571,0.524,0.047,0.006,0.423,41022,0.083,37264,0.526,0.526,0.485,5610,0.599,11988,0.762,N,N,N,N,N,N,N,(X),37618,0.346,0.148,0.224,0.094,0.189,37618,0.007,0.089,0.158,0.012,0.089,0.031,0.006,0.077,0.072,0.222,0.108,0.034,0.095,37618,0.76,0.174,0.066,0,32108,0.048,0.05,0.085,0.09,0.185,0.143,0.132,0.186,0.049,0.031,(X),(X),0.712,(X),0.376,(X),0.257,(X),0.031,(X),0.006,(X),0.118,22219,0.037,0.042,0.024,0.118,0.132,0.178,0.127,0.242,0.065,0.036,(X),(X),(X),9889,(X),(X),(X),(X),(X),84444,0.851,0.655,0.347,0.149,20260,0.048,49719,37746,34770,0.819,0.803,0.04,0.181,2976,0.322,0.255,0.067,0.678,11973,0.724,0.494,0.345,0.276,0.096,0.137,0.155,0.053,0.055,0.254,0.218,0.277,0.108,0.115,0.145,0.141,0.145,0.14,0.106,0.111,0.091,0.093,0.227
"Etowah County, Alabama",83219,0.539,0.539,0.499,0.04,0,0.461,44893,0.075,43838,0.474,0.474,0.443,7263,0.748,12426,0.754,40653,0.856,0.065,0.007,0.017,0,0.054,(X),41548,0.288,0.119,0.238,0.094,0.261,41548,0.006,0.05,0.191,0.022,0.168,0.054,0.014,0.04,0.064,0.233,0.087,0.043,0.029,41548,0.805,0.126,0.069,0,38006,0.081,0.078,0.122,0.101,0.169,0.199,0.08,0.127,0.028,0.017,(X),(X),0.663,(X),0.406,(X),0.298,(X),0.063,(X),0.014,(X),0.122,24392,0.04,0.025,0.099,0.095,0.181,0.198,0.118,0.179,0.039,0.025,(X),(X),(X),13614,(X),(X),(X),(X),(X),102521,0.871,0.628,0.421,0.129,23528,0.058,59747,41769,38699,0.844,0.785,0.079,0.156,3070,0.549,0.445,0.269,0.451,17978,0.773,0.411,0.49,0.227,0.115,0.171,0.047,0.085,0.126,0,0.241,0.266,0.115,0.168,0.229,0.221,0.219,0.222,0.152,0.16,0.127,0.129,0.332
"Houston County, Alabama",86003,0.565,0.562,0.534,0.028,0.003,0.435,48329,0.05,45362,0.523,0.521,0.491,7192,0.611,15110,0.672,45396,0.842,0.078,0,0.008,0.013,0.059,(X),45913,0.342,0.184,0.212,0.11,0.151,45913,0.013,0.077,0.098,0.022,0.137,0.07,0.005,0.034,0.098,0.246,0.096,0.056,0.047,45913,0.794,0.13,0.072,0.004,44058,0.085,0.065,0.106,0.124,0.143,0.176,0.102,0.114,0.046,0.039,(X),(X),0.713,(X),0.344,(X),0.264,(X),0.058,(X),0.013,(X),0.161,29030,0.063,0.047,0.082,0.091,0.129,0.199,0.118,0.155,0.063,0.052,(X),(X),(X),15028,(X),(X),(X),(X),(X),106536,0.889,0.577,0.443,0.111,25531,0.029,61472,43528,41495,0.84,0.79,0.081,0.16,2033,0.472,0.244,0.264,0.528,17944,0.814,0.387,0.505,0.186,0.156,0.258,0.164,0.062,0.086,0.037,0.391,0.502,0.412,0.196,0.278,0.278,0.28,0.277,0.171,0.185,0.13,0.174,0.292
"Jefferson County, Alabama",532974,0.61,0.609,0.575,0.034,0.002,0.39,324496,0.056,284583,0.569,0.569,0.543,45826,0.702,94536,0.702,300339,0.764,0.075,0.004,0.012,0.011,0.133,(X),306330,0.429,0.171,0.195,0.061,0.144,306330,0.004,0.045,0.095,0.031,0.12,0.059,0.016,0.088,0.118,0.265,0.075,0.04,0.044,306330,0.789,0.163,0.047,0.001,270147,0.081,0.05,0.1,0.085,0.133,0.179,0.113,0.128,0.057,0.073,(X),(X),0.759,(X),0.324,(X),0.228,(X),0.071,(X),0.025,(X),0.148,161313,0.053,0.034,0.058,0.073,0.108,0.177,0.138,0.166,0.087,0.106,(X),(X),(X),108834,(X),(X),(X),(X),(X),661543,0.911,0.671,0.363,0.089,160668,0.038,392948,296467,279568,0.897,0.856,0.067,0.103,16899,0.602,0.377,0.241,0.398,96481,0.827,0.475,0.439,0.173,0.127,0.195,0.073,0.052,0.059,0.022,0.302,0.429,0.256,0.166,0.236,0.233,0.213,0.241,0.145,0.153,0.116,0.142,0.257
"Lauderdale County, Alabama",76414,0.582,0.582,0.562,0.02,0.001,0.418,44461,0.035,40253,0.532,0.532,0.509,4218,0.684,11774,0.648,42216,0.809,0.126,0.001,0.007,0.015,0.041,(X),42921,0.319,0.206,0.196,0.101,0.179,42921,0.004,0.069,0.157,0.037,0.128,0.046,0.003,0.054,0.048,0.192,0.146,0.061,0.055,42921,0.77,0.178,0.049,0.003,38250,0.07,0.052,0.115,0.098,0.163,0.153,0.135,0.122,0.057,0.034,(X),(X),0.697,(X),0.372,(X),0.306,(X),0.03,(X),0.004,(X),0.098,25551,0.04,0.035,0.08,0.075,0.163,0.162,0.16,0.153,0.085,0.049,(X),(X),(X),12699,(X),(X),(X),(X),(X),93063,0.879,0.677,0.364,0.121,19702,0.035,54837,41302,39951,0.8,0.781,0.039,0.2,1351,0.876,0.702,0.284,0.124,13535,0.818,0.566,0.332,0.182,0.128,0.258,0.238,0.062,0.146,0.112,0.433,0.599,0.805,0.17,0.259,0.257,0.333,0.231,0.147,0.172,0.076,0.149,0.259
"Lee County, Alabama",143890,0.605,0.6,0.582,0.018,0.005,0.395,86324,0.03,74737,0.569,0.569,0.539,10413,0.604,25331,0.757,82813,0.787,0.075,0.005,0.022,0.003,0.108,(X),83740,0.438,0.165,0.236,0.067,0.094,83740,0.005,0.054,0.09,0.016,0.168,0.05,0.016,0.07,0.077,0.313,0.09,0.024,0.027,83740,0.763,0.188,0.05,0,67358,0.111,0.06,0.077,0.075,0.148,0.177,0.121,0.121,0.06,0.048,(X),(X),0.802,(X),0.276,(X),0.218,(X),0.047,(X),0.017,(X),0.104,43010,0.052,0.024,0.047,0.067,0.122,0.189,0.168,0.165,0.093,0.072,(X),(X),(X),24348,(X),(X),(X),(X),(X),176109,0.883,0.726,0.267,0.117,40802,0.036,112613,80732,78529,0.851,0.828,0.052,0.149,2203,0.55,0.449,0.101,0.45,31881,0.809,0.639,0.233,0.191,0.109,0.136,0.136,0.033,0.034,0.03,0.386,0.443,0.432,0.194,0.205,0.202,0.246,0.187,0.191,0.213,0.084,0.12,0.461
