year,state,state_po,county_name,county_fips,Total Votes,Republican,Democrat,Repub_%,Dem_%,Majority
2020,ALABAMA,AL,AUTAUGA,1001,27770,19838,7503,0.71437,0.27018,Republican
2020,ALABAMA,AL,BALDWIN,1003,109679,83544,24578,0.76171,0.22409,Republican
2020,ALABAMA,AL,BARBOUR,1005,10518,5622,4816,0.53451,0.45788,Republican
2020,ALABAMA,AL,BIBB,1007,9595,7525,1986,0.78426,0.20698,Republican
2020,ALABAMA,AL,BLOUNT,1009,27588,24711,2640,0.89572,0.09569,Republican
2020,ALABAMA,AL,BULLOCK,1011,4613,1146,3446,0.24843,0.74702,Democrat
2020,ALABAMA,AL,BUTLER,1013,9488,5458,3965,0.57525,0.4179,Republican
2020,ALABAMA,AL,CALHOUN,1015,50983,35101,15216,0.68848,0.29845,Republican
2020,ALABAMA,AL,CHAMBERS,1017,15284,8753,6365,0.57269,0.41645,Republican
2020,ALABAMA,AL,CHEROKEE,1019,12301,10583,1624,0.86034,0.13202,Republican
2020,ALABAMA,AL,CHILTON,1021,19310,16085,3073,0.83299,0.15914,Republican
2020,ALABAMA,AL,CHOCTAW,1023,7464,4296,3127,0.57556,0.41894,Republican
2020,ALABAMA,AL,CLARKE,1025,13135,7324,5755,0.55759,0.43814,Republican
2020,ALABAMA,AL,CLAY,1027,6930,5601,1267,0.80823,0.18283,Republican
2020,ALABAMA,AL,CLEBURNE,1029,7227,6484,675,0.89719,0.0934,Republican
2020,ALABAMA,AL,COFFEE,1031,22275,16899,5076,0.75865,0.22788,Republican
2020,ALABAMA,AL,COLBERT,1033,27886,19203,8343,0.68863,0.29918,Republican
2020,ALABAMA,AL,CONECUH,1035,6441,3442,2966,0.53439,0.46049,Republican
2020,ALABAMA,AL,COOSA,1037,5479,3631,1796,0.66271,0.3278,Republican
2020,ALABAMA,AL,COVINGTON,1039,17430,14586,2721,0.83683,0.15611,Republican
2020,ALABAMA,AL,CRENSHAW,1041,6617,4864,1700,0.73508,0.25691,Republican
2020,ALABAMA,AL,CULLMAN,1043,41851,36880,4478,0.88122,0.107,Republican
2020,ALABAMA,AL,DALE,1045,19738,14303,5170,0.72464,0.26193,Republican
2020,ALABAMA,AL,DALLAS,1047,17864,5524,12230,0.30923,0.68462,Democrat
2020,ALABAMA,AL,DEKALB,1049,29356,24767,4281,0.84368,0.14583,Republican
2020,ALABAMA,AL,ELMORE,1051,41030,30164,10367,0.73517,0.25267,Republican
